Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
Abadom,ABADOM,55.0,medium,"Founded 2006 (20 years in business) · About 5 employees, inside your range · Owner born 1996, around 30 years old",6,http://www.abadom-plomberie.fr/,+33472720606,Lyon,,FR,HVAC,2006,5,750000,1250000,Jordan Benhamou,1996,"estimate, overture, rdap, recherche_entreprises"
Rakor Plomberie,RAKOR PLOMBERIE,53.1,medium,"About 5 employees, inside your range · Founded 2014 (12 years in business) · Owner born 1975, around 51 years old",6,http://www.rakor.fr/,+33478961616,Lyon,,FR,HVAC,2014,5,750000,1250000,Benoit Quettier,1975,"estimate, overture, rdap, recherche_entreprises"
Abritherm,ABRITHERM,53.0,medium,"Founded 1999 (27 years in business) · About 5 employees, inside your range · Owner born 1980, around 46 years old",5,http://www.abritherm.fr,+33478471616,Lyon,,FR,HVAC,1999,5,750000,1250000,Jerome Boullanger,1980,"estimate, overture, rdap, recherche_entreprises"
Dalkia,DALKIA,48.0,medium,"Founded 1956 (70 years in business) · Owner born 1969, around 57 years old · About 300 employees, outside your range",5,http://www.dalkia.fr/fr/service-client/agences/?areas=27&obj=implantations&send=OK,+33472356668,Lyon,Rhône,FR,HVAC,1956,300,45000000,75000000,Sylvie Catherine Jehanno (Senay),1969,"estimate, overture, rdap, recherche_entreprises"
Plomberie Semoun,PLOMBERIE SEMOUN,44.0,medium,"Founded 2004 (22 years in business) · About 5 employees, inside your range · Owner born 1981, around 45 years old",5,http://www.plomberie-semoun.fr/,+33478526610,Lyon,,FR,HVAC,2004,5,750000,1250000,Lionel Blin,1981,"estimate, overture, rdap, recherche_entreprises"
Thermocom Plomberie,THERMOCOM PLOMBERIE,43.8,medium,"About 5 employees, inside your range · Founded 2016 (10 years in business) · Owner born 1988, around 38 years old",6,https://thermocom.fr,+33638980630,Lyon,,FR,HVAC,2016,5,750000,1250000,Alexandru Boldisor,1988,"estimate, overture, rdap, recherche_entreprises"
Savelys,SAVELYS,42.9,low,"Founded 1974 (52 years in business) · About 300 employees, outside your range · Part of a larger group",6,http://www.savelys.fr/particulier.html,+33478728635,Lyon,Rhône,FR,HVAC,1974,300,45000000,75000000,,,"estimate, overture, rdap, recherche_entreprises"
Fast Auto Pierre Bénite,FAST AUTO PIERRE BENITE,41.9,medium,"About 5 employees, inside your range · Owner born 1976, around 50 years old · Founded 2018 (8 years in business)",6,http://www.fastautopb.com,+33437223351,Oullins-Pierre-Bénite,,FR,HVAC,2018,5,750000,1250000,Ali Ergun,1976,"estimate, overture, recherche_entreprises"
Brunel Plomberie,BRUNEL PLOMBERIE,40.0,low,"Founded 2011 (15 years in business) · Owner born 1985, around 41 years old",7,https://www.brunel-plomberie.fr/,+33664688020,Bourgoin-Jallieu,,FR,HVAC,2011,,,,Matthieu Denis Christian Brunel,1985,"overture, rdap, recherche_entreprises"
Eclipse Electricite,,40.0,low,"Website domain registered in 2014, so trading at least 12 years",8,http://www.eclipse-electricite-lyon.fr/,+33472759434,Lyon,,FR,HVAC,,,,,,,"overture, rdap"
Paganon Entreprise,,40.0,low,"Website domain registered in 2013, so trading at least 13 years",8,http://www.paganon-chauffage-plomberie.com/,+33478513485,Oullins-Pierre-Bénite,,FR,HVAC,,,,,,,"overture, rdap"
Plomberie Charlemagne SAS,,40.0,low,"Website domain registered in 2015, so trading at least 11 years",8,http://www.plomberiecharlemagne.fr/,+33478426876,Lyon,,FR,HVAC,,,,,,,"overture, rdap"
Résoconfort Adag-caladoise,,40.0,low,"Website domain registered in 2015, so trading at least 11 years",8,https://resoconfort.fr/agence/adag-caladoise-chauffagiste-lyon/,+33478397616,Lyon,,FR,HVAC,,,,,,,"overture, rdap"
Slim Électroménager,MOHAMED SLIMANI (SLIM ELECTROMENAGER),40.0,low,Founded 2012 (14 years in business),8,http://www.slim-electromenager.fr/,+33635133431,Tassin-la-Demi-Lune,,FR,HVAC,2012,,,,,,"overture, recherche_entreprises"
Verrecchia Froid,VERRECCHIA FROID (VERRECCHIA FROID),40.0,low,"Founded 2003 (23 years in business) · Owner born 1978, around 48 years old",7,https://www.verrecchia-froid.fr,+33680598201,Pierre Bénite,Rhône,FR,HVAC,2003,,,,Jean-Charles Casaburi,1978,"overture, rdap, recherche_entreprises"
GMS,GMS,32.5,medium,"About 5 employees, inside your range · Founded 2021 (5 years in business) · Owner born 1982, around 44 years old",6,http://www.gmscompteurs.com,+33472788798,Lyon,Rhône,FR,HVAC,2021,5,750000,1250000,Paulo Jorge Dos Santos Grade,1982,"estimate, overture, recherche_entreprises"
AB Plomberie,AB PLOMBERIE,10.0,low,Founded 2026 (0 years in business),8,http://www.abplomberie-lyon.fr/,+33698003776,Lyon,,FR,HVAC,2026,,,,,,"overture, rdap, recherche_entreprises"
Multibat,ANG MULTIBAT (ANG MULTIBAT),10.0,low,"Founded 2025 (1 years in business) · Owner born 1988, around 38 years old",7,http://www.hab-6.com,+33478378366,Lyon,Rhône,FR,HVAC,2025,,,,Romain Pierre Georges Anglade,1988,"overture, recherche_entreprises"
Rac,RAC,10.0,low,"Founded 2019 (7 years in business) · Owner born 1992, around 34 years old",7,http://www.rac.fr,+33472760808,Lyon,Rhône,FR,HVAC,2019,,,,Adrien Luc Jean Durand,1992,"overture, rdap, recherche_entreprises"
Atout Energie,,,low,,9,http://www.atoutenergie.com/,+33951152350,Lyon,,FR,HVAC,,,,,,,"overture, rdap"
Barou,,,low,,9,http://hervebarouplomberie.site-solocal.com,+33478594545,Sainte Foy Lès Lyon,Rhône,FR,HVAC,,,,,,,"overture, rdap"
Christal Cheminées,,,low,,9,http://www.christal-cheminees.fr/,+33478900215,Limonest,,FR,HVAC,,,,,,,"overture, rdap"
Ciaravino Plomberie Chauffage,,,low,,9,http://www.ciaravino-plomberie-lyon.fr,+33478254471,Lyon,,FR,HVAC,,,,,,,overture
C.S. Énergies,,,low,,9,http://www.cs-energies69.fr/,+33478388521,Sainte-Foy-lès-Lyon,,FR,HVAC,,,,,,,"overture, rdap"
