Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
Plumbers Steamfitters,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://www.southwestpipetrades.com,+18175361979,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Ratterree Heat & Air,,70.0,low,"Website domain registered in 2003, so trading at least 23 years",8,http://www.ratterreeac.com/,+18172461866,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Sanders Plumbing,,70.0,low,"Website domain registered in 2009, so trading at least 17 years",8,http://sandersplumbingdfw.com/,+18172936393,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Thompson's Cooling & Heating,,70.0,low,"Website domain registered in 2007, so trading at least 19 years",8,http://thompsonscooling.com/,+18175604300,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Victory Climate Systems,,70.0,low,"Website domain registered in 2010, so trading at least 16 years",8,http://www.victoryclimatesystems.com,+18172933331,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"1st Choice Plumbing, Heating & Air Solutions",,40.0,low,"Website domain registered in 2013, so trading at least 13 years",8,https://1stchoiceairsolutions.com/,+18176741300,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"Ace Air Conditioning & Heating Services, Inc.",,40.0,low,"Website domain registered in 2015, so trading at least 11 years",8,https://www.aceacdfw.com/,+18172222600,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
AC Services Heating & Air Conditioning,,40.0,low,"Website domain registered in 2014, so trading at least 12 years",8,http://acservdfw.com/,+18172931160,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Air Duct Cleaning of Fort Worth,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://airductcleaningoffortworth.com/,+18173815237,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Allen & Company Environmental Services,,40.0,low,"Website domain registered in 2013, so trading at least 13 years",8,http://www.allenenviro.com,+18178879801,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Comfort Experts,,40.0,low,"Website domain registered in 2012, so trading at least 14 years",8,https://comfortexpertsinc.com/service-area/fort-worth-tx/,+18173415157,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Comfort Masters Heating & Air Conditioning,,40.0,low,"Website domain registered in 2012, so trading at least 14 years",8,https://comfortmastersdfw.com/,+18179944194,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Fort Worth Heat & Air,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://www.fortworthheatandair.com/,+18178000340,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Iceberg Heating & Air Conditioning,,40.0,low,"Website domain registered in 2015, so trading at least 11 years",8,http://www.icebergheatingandair.com,+18179209950,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
JMS Heating & Air Conditioning,,40.0,low,"Website domain registered in 2012, so trading at least 14 years",8,http://txjms.com/,+18173490083,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
KNK Heat & Air,,40.0,low,"Website domain registered in 2013, so trading at least 13 years",8,http://knk-airconditioning.com/,+18174417026,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Martech Air Conditioning and Heating,,40.0,low,"Website domain registered in 2012, so trading at least 14 years",8,http://martechhvac.com/,+18175002992,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Norco Services,,40.0,low,"Website domain registered in 2015, so trading at least 11 years",8,http://www.norcoservicesllc.com/contact/message,+18174840472,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"NSG Heating and Air Specialists, LLC.",,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,https://www.nsgair.com/,+18179934822,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Plumber Fort Worth Texas,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://www.plumberfortworthtexas.com,+18175231467,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Temp Pro Mechanical Inc,,40.0,low,"Website domain registered in 2014, so trading at least 12 years",8,https://temppromechanical.com/,+19725042079,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Water Heater Fortworth TX,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,http://waterheaterfortworthtx.com/,+18177600574,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Williams Air Conditioning & Heating,,40.0,low,"Website domain registered in 2016, so trading at least 10 years",8,https://www.williams-ac.com,+18172931838,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
1stchoicefortworthductcleaning,,,low,,9,https://1stchoicefortworthductcleaning.com/,+18173304265,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
A-11 Air Conditioning,,,low,,9,http://www.a11air.com/,+18172987100,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
AA All Electric Service,,,low,,9,,+18178290055,Fort Worth,TX,US,HVAC,,,,,,,overture
A&E Heating and Air,,,low,,9,https://aandehvac.com/,+18179927499,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
A&G Services,,,low,,9,https://agservicestx.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=yext-listing&y_source=1_OTQ2NDIwOC00ODMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+18175515000,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Air 1 Air Conditioning & Heating,,,low,,9,http://www.air1airconditioning.com/,+18173772471,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Aire Serv of Fort Worth,,,low,,9,https://www.aireserv.com/ft-worth/?cid=LSTL_ASV-US000207,+18179003858,Fort Worth,TX,US,HVAC,,,,,,,overture
Air Technical AC & Heating,,,low,,9,,+18175805838,Fort Worth,TX,US,HVAC,,,,,,,overture
Alanis HVAC Service,,,low,,9,,+16822216893,Fort Worth,TX,US,HVAC,,,,,,,overture
Aura Comfort,,,low,,9,https://auracomfort.co/,+18174098840,Fort Worth,TX,US,HVAC,,,,,,,overture
Certified Air Duct Cleaning - Fort Worth,,,low,,9,https://www.dfwventcleaners.com/fort-worth/,+18177749427,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"Clement Services, LLC",,,low,,9,http://www.clementservicestx.net/,+18178452069,FORT WORTH,TX,US,HVAC,,,,,,,overture
DIMAR HVAC Services,,,low,,9,http://dimar-ac.com/,+16827101130,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Dynamic Duct Design LLC,,,low,,9,https://www.dynamicductdesign.com/,+16822348860,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Economy Water Heater Repair Fort Worth,,,low,,9,,+18177530674,Fort Worth,TX,US,Plumbing,,,,,,,overture
Flying Three Air Conditioning,,,low,,9,https://www.flyingthreeac.com/,+16822240935,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Fort Worth Air Conditioning Co. Inc,,,low,,9,,+18173676000,Fort Worth,TX,US,HVAC,,,,,,,overture
Fox Mechanical Airconditioning And Heat LLC,,,low,,9,,+18172444888,Fort Worth,TX,US,HVAC,,,,,,,overture
Frost Brothers Resources,,,low,,9,http://frostbrothersresources.com,+16826471439,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Home & Air Pros LLC,,,low,,9,,+16823332756,Fort Worth,TX,US,HVAC,,,,,,,overture
Infinity Heating and Air Conditioning,,,low,,9,https://www.infinityhvacservice.com/,+18178846328,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Innovative Air LLC,,,low,,9,http://innovativeairtx.com/,+18179662665,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Lambert HVAC,,,low,,9,https://www.lamberthvac.com/,+18176094676,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Langham's HVAC,,,low,,9,https://www.langhamshvac.com,+18175429341,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Mike Reyes Heating and Air Conditioning Services,,,low,,9,https://www.mikereyesheatingandair.com/,+18172918559,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Modern Air Services,,,low,,9,https://modernairservices.com/,+18172461866,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
North Texas Comfort HVAC,,,low,,9,http://northtxcomforthvac.com/,+18174042048,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
One Hour Air Conditioning & Heating,,,low,,9,https://www.onehourairftworth.com/,+18177665706,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Optima Mechanical LLC,,,low,,9,http://www.optimamechanical.com/,+18178550825,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Pennington Air Conditioning & Heating,,,low,,9,http://penningtonacandheating.com,+18179257157,Fort Worth,TX,US,HVAC,,,,,,,overture
Prime Time Heating And Air LLC,,,low,,9,http://www.primetime-tx.com/,+18178887313,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"Pulido Air Conditioning & Heating, INC.",,,low,,9,https://pulido-air-conditioning-heating-inc.business.site/?utm_source=gmb&utm_medium=referral,+18179197630,Fort Worth,TX,US,HVAC,,,,,,,overture
Strickland Heating and Air,,,low,,9,http://www.stricklandhvac.com/,+18176767112,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
"Team Enoch: Electric, Plumbing, Air, Roofing",,,low,,9,https://teamenoch.com/plumber-fort-worth-tx/,+18177834343,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Texan Heating & Air,,,low,,9,http://Texanhvac.com/,+18177343073,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Texas Sunrise Solar,,,low,,9,,+18174294411,Fort Worth,TX,US,HVAC,,,,,,,overture
Thermo King of Dallas - Fort Worth,,,low,,9,,+18178314261,Fort Worth,TX,US,HVAC,,,,,,,overture
Top Quality Heating & Air,,,low,,9,https://www.topqualityac.com,+18172106493,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
TYH Air Duct Cleaning,,,low,,9,,+19729728640,Fort Worth,TX,US,HVAC,,,,,,,overture
West-O-Plex A/C & Heating,,,low,,9,http://westoplexac.com/,+18172442511,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
Zebra Ducts Cleaning,,,low,,9,http://zebraductscleaning.com/,+12145063840,Fort Worth,TX,US,HVAC,,,,,,,"overture, rdap"
