Company,Legal name,Score,Confidence,Why (top reasons),Unknown signals,Website,Phone,City,Region,Country,Industry,Founded,Employees (est.),Revenue low (est.),Revenue high (est.),Owner,Owner born,Sources
"David W. Kostohryz, Jr., DDS, MD",,,low,,6,https://www.fortworthoralsurgery.com/,+18177312789,Fort Worth,TX,US,Dental practice,,,,,,,overture
Deborah Loth DDS Endodontics,,,low,,6,http://www.lothdds.com/,+18177373000,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Del Mar Dental,,,low,,6,http://DelMarDentalTexas.com/,+18177107443,Fort Worth,TX,US,Dental practice,,,,,,,overture
Dentists at Chisholm Trail,,,low,,6,https://www.DentistsatChisholmTrail.com/?sc_cid=Facebook%3AO%3AGP%3A748%3ASocial%3AGeneral%3Ana&_vsrefdom=organic_social&y_source=1_MTUxNjQ5NjAtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D,+18178034362,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Dr. Charles McCluer,,,low,,6,http://www.charlesmccluerdds.com/,+18177312661,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Drennan Family Dentistry,,,low,,6,http://drennanfamilydentistry.com/,+18177325522,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Dr Thomas G Croft III DDS,,,low,,6,http://croftdental.net/,+18177318439,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Edwards Ranch Dental Group,,,low,,6,http://www.edwardsranchdental.com/,+18177198688,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
FastNewSmile® Dental Implant Center,,,low,,6,,+18176327070,Fort Worth,TX,US,Dental practice,,,,,,,overture
Fort Dental,,,low,,6,https://www.fortdentaltx.com/,+18172925957,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Fort Worth Cosmetic and Family Dentistry,,,low,,6,http://www.ngreendental.com/,+18177376601,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Gary N. Pointer DDS,,,low,,6,https://www.garypointerdds.com,+18177372531,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
"Gregory B. Scheideman, DDS",,,low,,6,https://www.fortworthoralsurgery.com/,+18179454597,Fort Worth,TX,US,Dental practice,,,,,,,overture
HomeTown Dental,,,low,,6,http://www.hometowndental.org,+18177311915,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Hulen Crossing Family Dental,,,low,,6,https://hulencrossingdental.com/,+16822076555,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Ideal Dental Waterside,,,low,,6,https://www.myidealdental.com/waterside/?utm_source=facebook&utm_medium=listings&utm_campaign=websiteurl,+18177780418,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
iKids Pediatric Dentistry and Orthodontics,,,low,,6,https://www.ikidsdental.com/locations/fort-worth/?utm_source=listings&utm_medium=organic&utm_campaign=facebook,+18174068467,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
iSmile Dental,,,low,,6,http://www.myismiledental.com/,+18178996311,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Justyna S Laska DDS,,,low,,6,http://www.drlaska.com/,+18177379555,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Kelly Blair DDS,,,low,,6,https://www.drkellyblair.com/,+18177375155,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Kreating Smiles Pediatric Dentistry,,,low,,6,http://Kreatingsmiles.com/,+18177322821,Fort Worth,TX,US,Dental practice,,,,,,,overture
Laura Loftin Dentistry,,,low,,6,https://www.lauraloftindentistry.com/,+18174294444,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Little Boots Pediatric Dentistry,,,low,,6,https://littlebootspd.com/,+18174207609,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
"Mark A Malone, Dds",,,low,,6,markmalonedds.com,+18177359844,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
McAlister Dentistry,,,low,,6,https://www.McAlisterDentistry.com/?sc_cid=Facebook%3AO%3AGP%3A1075%3ASocial%3AGeneral%3Ana&_vsrefdom=organic_social&y_source=1_NzE3Nzg1OTMtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D,+18172310210,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
MINT dentistry - Ft.Worth,,,low,,6,https://fortworthhorne.mintdentistry.com/?utm_source=fb&utm_medium=Yext,+18173102024,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Mint Leaf Dental,,,low,,6,https://www.mintleaffortworthdentist.com/,+18175294444,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Monarch Dental,,,low,,6,https://www.monarchdental.com/dental-office/fort-worth-dentist/30240/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,+18173772228,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Nick Le DDS,,,low,,6,https://www.nickledds.com/,+18172446315,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
North Texas Smiles Pediatric Dentistry & Orthodontics,,,low,,6,http://northtexassmiles.com/,+18177329341,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Paulus Dental & Paulus Orthodontics,,,low,,6,http://www.paulusdental.com/,+18176781336,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Periodontal Associates of Fort Worth,,,low,,6,https://www.periotexas.com/,+18177372594,Fort Worth,TX,US,Dental practice,,,,,,,overture
Prestige Dental of Fort Worth,,,low,,6,https://prestigedentalfortworth.com/,+18172590671,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Rivertree Dental and Implants,,,low,,6,https://www.rivertreedentist.com/,+18179240506,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Sarah J. Morris DDS and Associates,,,low,,6,http://www.sarahmorrisdds.com/,+18174294444,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Schmidgall Dental Aesthetics,,,low,,6,http://www.schmidgalldental.com/,+18177319487,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Smile & Co.,,,low,,6,http://thesmileandcompany.com/,+18177529936,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Smile Direct Club,,,low,,6,,+18008487566,Fort Worth,TX,US,Dental practice,,,,,,,overture
Smile Fort Worth,,,low,,6,https://smilefortworth.com/,+18177326622,Fort Worth,TX,US,Dental practice,,,,,,,overture
Smile Makers Family and Cosmetic Dentistry,,,low,,6,,+16822044442,Fort Worth,TX,US,Dental practice,,,,,,,overture
Smiley Dental & Orthodontics,,,low,,6,http://dentistinfortworthtexas.com/,+18179164343,Fort Worth,TX,US,Dental practice,,,,,,,overture
"Stacy V Cole, Dds",,,low,,6,,+18177319291,Fort Worth,TX,US,Dental practice,,,,,,,overture
Studio Dental of Chisholm Trail,,,low,,6,https://www.studiodentalofchisholmtrail.com/,+18177176788,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Summer Creek Dentistry,,,low,,6,https://www.summercreekdentistry.com/,+18172927488,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Tres Morris D.D.S.,,,low,,6,http://tresmorrisdds.com/,+18173779776,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
Vista Ridge Dental,,,low,,6,http://www.vistaridgedental.com/,+18172925927,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
We Whiten,,,low,,6,https://wewhiten.com/fort-worth-texas/,+18178888451,Fort Worth,TX,US,Dental practice,,,,,,,"overture, rdap"
